No.,Vulnerability Title,Vulnerability ID,Severity,Affected Versions,Vulnerability Link
132,Windows system.run approval mismatch on cmd.exe /c trailing arguments,GHSA-5v6x-rfc3-7qfr,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-5v6x-rfc3-7qfr
133,BlueBubbles beta plugin webhook auth hardening (remove passwordless fallback),GHSA-5mx2-2mgw-x8rm,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-5mx2-2mgw-x8rm
134,ZDI-CAN-29312: OpenClaw Canvas Path Traversal Information Disclosure Vulnerability,GHSA-jq4x-98m3-ggq6,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-jq4x-98m3-ggq6
135,ZDI-CAN-29311: OpenClaw Canvas Authentication Bypass Vulnerability,GHSA-vvjh-f6p9-5vcf,High,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-vvjh-f6p9-5vcf
136,Improper Neutralization of Line Breaks in systemd Unit Generation Enables Local Command Execution (Linux),GHSA-vffc-f7r7-rx2w,High,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-vffc-f7r7-rx2w
137,Runtime /debug override path accepted prototype-reserved keys,GHSA-62f6-mrcj-v8h5,Low,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-62f6-mrcj-v8h5
138,Opt-in insecure Control UI auth over plaintext HTTP could allow privileged access in affected releases,GHSA-3cvx-236h-m9fj,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-3cvx-236h-m9fj
139,BASH_ENV / ENV startup-file injection into spawned shell commands,GHSA-w9cg-v44m-4qv8,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-w9cg-v44m-4qv8
140,Config env vars allowed startup env injection into service runtime,GHSA-8fmp-37rc-p5g7,Moderate,<=2026.2.19-2 || =2026.2.19,https://github.com/openclaw/openclaw/security/advisories/GHSA-8fmp-37rc-p5g7
141,Improper X-Forwarded-For parsing behind trusted proxies allows client IP spoofing in security decisions,GHSA-2rgf-hm63-5qph,Low,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-2rgf-hm63-5qph
142,Multiple E2E/test Dockerfiles run all processes as root,GHSA-w7j5-j98m-w679,High,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-w7j5-j98m-w679
143,Chrome --no-sandbox disabled OS-level browser sandbox in sandbox browser container,GHSA-43x4-g22p-3hrq,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-43x4-g22p-3hrq
144,Sandbox browser noVNC observer lacked VNC authentication,GHSA-25gx-x37c-7pph,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-25gx-x37c-7pph
145,Canvas route hardening for mixed-trust deployments,GHSA-cjv3-m589-v3rx,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-cjv3-m589-v3rx
146,Local File Exfiltration via MCP Tool Result MEDIA: Directive Injection,GHSA-jjgj-cpp9-cvpv,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-jjgj-cpp9-cvpv
147,Skill env override host env injection,GHSA-82g8-464f-2mv7,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-82g8-464f-2mv7
148,Windows Scheduled Task script generation allowed local command injection via unsafe cmd argument handling,GHSA-mqr9-vqhq-3jxw,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-mqr9-vqhq-3jxw
149,Command Injection via unescaped environment assignments in Windows Scheduled Task script generation,GHSA-pj5x-38rw-6fph,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-pj5x-38rw-6fph
150,OC-22: Reject symlinks in local skill packaging script,CVE-2026-27485,Low,<=2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-r6h2-5gqq-v5v6
151,Discord moderation authorization used untrusted sender identity in tool-driven flows,CVE-2026-27484,Moderate,<=2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-wh94-p5m6-mr7j
152,Windows Lobster shell fallback command injection in constrained fallback path,GHSA-fg3m-vhrr-8gj6,Low,>= 2026.1.21 <= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-fg3m-vhrr-8gj6
153,Auth inconsistency on local Browser Extension Relay /extension endpoint,GHSA-pfv7-rr5m-qmv6,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-pfv7-rr5m-qmv6
154,SSRF guard bypass via IPv6 transition over ISATAP,GHSA-8cp7-rp8r-mg77,Moderate,>=2026.1.20 <=2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-8cp7-rp8r-mg77
155,ReDoS and regex injection via unescaped Feishu mention metadata in RegExp construction,GHSA-c6hr-w26q-c636,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-c6hr-w26q-c636
156,iMessage remote attachment SCP hardening (strict host-key checks and remoteHost validation),GHSA-2mc2-g238-722j,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-2mc2-g238-722j
157,Path traversal in Feishu media temp-file naming allows writes outside os.tmpdir(),GHSA-vj3g-5px3-gr46,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-vj3g-5px3-gr46
158,Command injection via Windows shell fallback in Lobster tool execution,GHSA-7fcc-cw49-xm78,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-7fcc-cw49-xm78
159,Plugin runtime command execution is part of trusted plugin boundary,GHSA-ff98-w8hj-qrxf,Low,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-ff98-w8hj-qrxf
160,Shell command injection in exec allowlist mode via unquoted heredoc expansion,CVE-2026-27209,High,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-65rx-fvh6-r4h2
161,Owner-only gateway tool access checks were incomplete in specific authenticated DM flows,GHSA-2hm8-rqrm-xfjq,Low,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-2hm8-rqrm-xfjq
162,OC-91: WhatsApp reaction action bypasses JID authorization for allowFrom-restricted targets,CVE-2026-27158,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-2prf-9cw7-fq62
163,TTS model directives allowed provider switching by default,CVE-2026-27159,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-xwcr-v472-8hhr
164,ACP resource_link metadata prompt interpolation allowed prompt-injection content via title/URI fields,CVE-2026-27165,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-74xj-763f-264w
165,OC-65: overflow compaction retry counter reset after truncation amplifies bounded retry/cost cycles,CVE-2026-27164,Low,>=2026.2.9 <=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-x2g4-7mj7-2hhj
166,OC-53: ACP prompt-size checks missing in local stdio bridge could reduce responsiveness with very large inputs,CVE-2026-27576,Low,<=2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-cxpw-2g23-2vgw
167,Harden cron webhook delivery against SSRF,CVE-2026-27488,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-w45g-5746-x9fp
168,OpenClaw exec allowlist safeBins short-option bypass could permit arbitrary file write,GHSA-3x3x-h76w-hp98,Moderate,<=2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-3x3x-h76w-hp98
169,OC-06: Arbitrary file read via $include directive,GHSA-56pc-6hvp-4gv4,High,<=2026.2.15,https://github.com/openclaw/openclaw/security/advisories/GHSA-56pc-6hvp-4gv4
170,`tools.exec.safeBins` PATH-hijack allowed trojan binaries to bypass allowlist checks,GHSA-g75x-8qqm-2vxp,Moderate,>=2026.1.21 <2026.2.18,https://github.com/openclaw/openclaw/security/advisories/GHSA-g75x-8qqm-2vxp
171,OpenClaw safeBins file-existence oracle information disclosure,GHSA-6c9j-x93c-rw6j,Moderate,<=2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-6c9j-x93c-rw6j
172,safeBins stdin-only bypass via sort output and recursive grep flags,GHSA-4685-c5cp-vp95,Low,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-4685-c5cp-vp95
173,Serialize sandbox registry writes to prevent races and delete-rollback corruption,GHSA-gq83-8q7q-9hfx,Moderate,<=2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-gq83-8q7q-9hfx
174,Replace deprecated sandbox hash algorithm,GHSA-fh3f-q9qw-93j9,Moderate,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-fh3f-q9qw-93j9
175,Sandbox config hash sorted primitive arrays and suppressed needed container recreation,CVE-2026-27007,Moderate,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-xxvh-5hwj-42pp
176,OC-19: Unsanitized CWD path injection into LLM prompts,CVE-2026-27001,High,< 2026.2.15,https://github.com/openclaw/openclaw/security/advisories/GHSA-2qj5-gwg2-xwc4
177,OC-13: Docker container escape via unvalidated bind mount config injection,CVE-2026-27002,Moderate,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-w235-x559-36mg
178,OC-07: Session tool visibility hardening and Telegram webhook secret fallback,CVE-2026-27004,High,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-6hf3-mhgc-cm65
179,Stored XSS in Control UI via unsanitized assistant name/avatar in inline script injection,CVE-2026-27009,Moderate,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-37gc-85xm-2ww6
180,Sensitive file disclosure via stageSandboxMedia,GHSA-x9cf-3w63-rpq9,Moderate,<= 2026.2.17,https://github.com/openclaw/openclaw/security/advisories/GHSA-x9cf-3w63-rpq9
181,Harden skill download target directory validation,CVE-2026-27008,Moderate,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-h7f7-89mm-pqh6
182,Option injection in pre-commit hook can stage ignored files,GHSA-mmpf-jwf4-h3qv,Low,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-mmpf-jwf4-h3qv
183,OC-17: Telegram bot token exposure via logs,CVE-2026-27003,Moderate,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-chf7-jq6g-qrwv
184,Chutes manual OAuth state validation bypass can cause credential substitution,GHSA-7rcp-mxpq-72pj,Moderate,<= 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-7rcp-mxpq-72pj
185,OC-31: Process Safety - Unvalidated PID Kill via SIGKILL in Process Cleanup,CVE-2026-27486,Low,< 2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-jfv4-h8mc-jcp8
186,LFI in BlueBubbles media path handling,GHSA-rwj8-p9vq-25gv,High,<v2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-rwj8-p9vq-25gv
187,OC-28: Prevent shell injection in macOS keychain credential write,CVE-2026-27487,High,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-4564-pvr2-qq4h
188,Two SSRF via sendMediaFeishu and markdown image fetching in Feishu extension,GHSA-x22m-j5qq-j49m,High,< 2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-x22m-j5qq-j49m
189,Local file disclosure via sendMediaFeishu in Feishu extension,CVE-2026-26321,High,< 2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-8jpq-5h99-ff5r
190,Path traversal in browser trace/download output paths may allow arbitrary file writes outside OpenClaw temp directories,GHSA-gq9c-wg68-gwj2,High,< 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-gq9c-wg68-gwj2
191,OC-02: Gateway /tools/invoke tool escalation + ACP permission auto-approval,GHSA-943q-mwmv-hhvh,High,<2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-943q-mwmv-hhvh
192,Remote Code Execution via Node Invoke Approval Bypass in Gateway,GHSA-gv46-4xfq-jv58,Critical,< 2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-gv46-4xfq-jv58
193,Authentication bypass in sandbox browser bridge server,GHSA-h9g4-589h-68xv,High,>=2026.1.29-beta.1 <2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-h9g4-589h-68xv
194,Potential code execution via unsafe hook module path handling in Gateway,GHSA-v6c6-vqqg-w888,High,>=2026.1.5 <=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-v6c6-vqqg-w888
195,OpenClaw log poisoning (indirect prompt injection) via WebSocket headers,GHSA-g27f-9qjv-22pm,Low,<= 2026.2.12,https://github.com/openclaw/openclaw/security/advisories/GHSA-g27f-9qjv-22pm
196,Hook transform module path allows traversal and arbitrary JavaScript module loading,GHSA-7xhj-55q9-pc3m,Moderate,">= 2.0.0-beta3, <= 2026.2.13",https://github.com/openclaw/openclaw/security/advisories/GHSA-7xhj-55q9-pc3m
197,Unsanitized session ID enables path traversal in transcript file operations,GHSA-5xfq-5mr7-426q,Moderate,<=2026.2.9,https://github.com/openclaw/openclaw/security/advisories/GHSA-5xfq-5mr7-426q
198,Non-constant-time token comparison in hooks authentication,GHSA-jmm5-fvh5-gf4p,Moderate,< 2026.2.12,https://github.com/openclaw/openclaw/security/advisories/GHSA-jmm5-fvh5-gf4p
199,Sandbox skill mirroring path traversal could write outside the sandbox workspace,GHSA-xw4p-pw82-hqr7,High,< 2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-xw4p-pw82-hqr7
200,Config writes could persist resolved ${VAR} secrets to disk,GHSA-47q7-97xp-m272,Moderate,< 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-47q7-97xp-m272
201,Path traversal (Zip Slip) in archive extraction during explicit installation commands,GHSA-v892-hwpg-jwqp,High,>=2026.1.16-2 <2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-v892-hwpg-jwqp
202,missing authentication for local browser-control endpoints,GHSA-qpjj-47vm-64pj,High,">= 2026.1.5, <= 2026.2.9",https://github.com/openclaw/openclaw/security/advisories/GHSA-qpjj-47vm-64pj
203,Inter-session prompts could be treated as direct user instructions,GHSA-w5c7-9qqw-6645,Moderate,<2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-w5c7-9qqw-6645
204,Hook Session Key Override Enables Targeted Cross-Session Routing,GHSA-hv93-r4j3-q65f,High,">= 2.0.0-beta3, < 2026.2.12",https://github.com/openclaw/openclaw/security/advisories/GHSA-hv93-r4j3-q65f
205,Chrome extension relay binds publicly due to wildcard treated as loopback,GHSA-qw99-grcx-4pvm,Moderate,>=2026.1.14-1 <2026.2.12,https://github.com/openclaw/openclaw/security/advisories/GHSA-qw99-grcx-4pvm
206,Arbitrary transcript path file write via gateway sessionFile,GHSA-64qx-vpxx-mvqf,High,< 2026.2.12,https://github.com/openclaw/openclaw/security/advisories/GHSA-64qx-vpxx-mvqf
207,Path Traversal in Browser Download Functionality,CVE-2026-26972,Moderate,">=2026.1.12, <=2026.2.12",https://github.com/openclaw/openclaw/security/advisories/GHSA-xwjm-j929-xq7c
208,Zip Slip path traversal in tar archive extraction,GHSA-p25h-9q54-ffvw,High,<2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-p25h-9q54-ffvw
209,Web Fetch DoS via unbounded response parsing,GHSA-p536-vvpp-9mc8,Moderate,<=2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-p536-vvpp-9mc8
210,OpenClaw macOS deep link confirmation truncation can conceal executed agent message,CVE-2026-26320,High,">= 2026.2.6-0, <= 2026.2.13",https://github.com/openclaw/openclaw/security/advisories/GHSA-7q2j-c4q5-rm27
211,Google Chat spoofing access with allowlist authorized mutable email principal despite sender-ID mismatch,GHSA-chm2-m3w2-wcxm,Low,<=2026.1.24-3,https://github.com/openclaw/openclaw/security/advisories/GHSA-chm2-m3w2-wcxm
212,Denial of service via unbounded URL-backed media fetch,GHSA-j27p-hq53-9wgc,High,<2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-j27p-hq53-9wgc
213,Denial of service through large base64 media files allocating large buffers before limit checks,GHSA-w2cg-vxx6-5xjg,Moderate,<=2026.1.24-3,https://github.com/openclaw/openclaw/security/advisories/GHSA-w2cg-vxx6-5xjg
214,Denial of service through unguarded archive extraction allowing high expansion/resource abuse (ZIP/TAR),GHSA-h89v-j3x9-8wqj,Moderate,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-h89v-j3x9-8wqj
215,Denial of service via unbounded webhook request body buffering,GHSA-q447-rj3r-2cgh,High,<2026.2.12,https://github.com/openclaw/openclaw/security/advisories/GHSA-q447-rj3r-2cgh
216,Cross-Site request forgery (CSRF) through loopback browser mutation endpoints,CVE-2026-26317,High,<=2026.1.24-3,https://github.com/openclaw/openclaw/security/advisories/GHSA-3fqr-4cg8-h96q
217,Google Chat shared-path webhook target ambiguity allowed cross-account policy-context misrouting,GHSA-rq6g-px6m-c248,High,<=2026.1.24-3,https://github.com/openclaw/openclaw/security/advisories/GHSA-rq6g-px6m-c248
218,Telegram allowlist authorization accepted mutable usernames,GHSA-mj5r-hh7j-4gxf,Moderate,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-mj5r-hh7j-4gxf
219,"iMessage group allowlist authorization inherited DM pairing-store identities, enabling cross-context command authorization",CVE-2026-26328,Moderate,<=2026.1.24-3,https://github.com/openclaw/openclaw/security/advisories/GHSA-g34w-4xqq-h79m
220,SSRF via attachment/media URL hydration,GHSA-wfp2-v9c7-fh79,Moderate,< 2026.2.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-wfp2-v9c7-fh79
221,Unauthenticated discovery TXT records could steer routing and TLS pinning,CVE-2026-26327,High,<= 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-pv58-549p-qh99
222,skills.status could leak secrets to operator.read clients,CVE-2026-26326,Moderate,<= 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-8mh7-phf8-xgfm
223,Unauthenticated Nostr profile HTTP endpoints allow remote profile/config tampering,GHSA-mv9j-6xhh-g383,High,<=2026.2.9,https://github.com/openclaw/openclaw/security/advisories/GHSA-mv9j-6xhh-g383
224,Webhook auth bypass when gateway is behind a reverse proxy (loopback remoteAddress trust),GHSA-xc7w-v5x6-cc87,Moderate,< 2026.2.12,https://github.com/openclaw/openclaw/security/advisories/GHSA-xc7w-v5x6-cc87
225,Path traversal in browser upload allows local file read,CVE-2026-26329,High,<2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-cv7m-c9jx-vg7q
226,Twilio voice-call webhook auth bypass when ngrok loopback compatibility is enabled,GHSA-c37p-4qqg-3p76,Moderate,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-c37p-4qqg-3p76
227,SSRF in Image Tool Remote Fetch,GHSA-56f2-hvwg-5743,High,<=2026.2.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-56f2-hvwg-5743
228,Gateway tool allowed unrestricted gatewayUrl override,CVE-2026-26322,High,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-g6q9-8fvw-f7rf
229,SSRF in optional Tlon (Urbit) extension authentication,GHSA-pg2v-8xwh-qhcc,Moderate,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-pg2v-8xwh-qhcc
230,Missing Webhook Authentication in Telnyx Provider Allows Unauthenticated Requests,CVE-2026-26319,High,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-4hg8-92x6-h2f3
231,Path traversal in apply_patch could write/delete files outside the workspace,GHSA-r5fq-947m-xm57,High,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-r5fq-947m-xm57
232,Command hijacking via unsafe PATH handling (bootstrapping + node-host PATH overrides),GHSA-jqpq-mgvm-f9r6,High,< 2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-jqpq-mgvm-f9r6
233,Slack: dmPolicy=open allowed any DM sender to run privileged slash commands,GHSA-v773-r54f-q32w,Moderate,<= 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-v773-r54f-q32w
234,Exec approvals: safeBins could bypass stdin-only constraints via shell expansion,GHSA-xvhf-x56f-2hpp,Moderate,<=2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-xvhf-x56f-2hpp
235,Node host system.run rawCommand/command mismatch can bypass allowlist/approvals,CVE-2026-26325,High,<= 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-h3f9-mjwj-w476
236,Gateway connect could skip device identity checks when auth.token was present but not yet validated,GHSA-rv39-79c4-7459,High,<=2026.2.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-rv39-79c4-7459
237,Exec allowlist bypass via command substitution/backticks inside double quotes,GHSA-3hcm-ggvf-rch5,High,<= 2026.2.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-3hcm-ggvf-rch5
238,Potential access-group authorization bypass if channel type lookup fails,GHSA-fhvm-j76f-qmjv,High,<=2026.2.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-fhvm-j76f-qmjv
239,Windows cmd.exe parsing may bypass exec allowlist/approval gating,GHSA-qj77-c3c8-9c3q,High,<= 2026.2.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-qj77-c3c8-9c3q
240,Inbound allowlist policy bypass in voice-call extension (empty caller ID + suffix matching),GHSA-4rj2-gpmh-qq5x,Critical,<= 2026.2.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-4rj2-gpmh-qq5x
241,Path Traversal in Plugin Installation,GHSA-qrq5-wjgg-rvqw,Critical,">= 2026.1.29-beta.1, < 2026.2.1",https://github.com/openclaw/openclaw/security/advisories/GHSA-qrq5-wjgg-rvqw
242,MS Teams inbound attachment downloader leaks bearer tokens to allowlisted suffix domains,GHSA-7vwx-582j-j332,High,<= 2026.1.30,https://github.com/openclaw/openclaw/security/advisories/GHSA-7vwx-582j-j332
243,Authorization bypass: `operator.write` can resolve exec approvals via `chat.send` -> `/approve`,GHSA-mqpw-46fh-299h,High,< 2026.2.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-mqpw-46fh-299h
244,Nextcloud Talk allowlist bypass via actor.name display name spoofing,GHSA-r5h9-vjqc-hq3r,High,<=2026.2.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-r5h9-vjqc-hq3r
245,Matrix allowlist bypass via displayName and cross-homeserver localpart matching,GHSA-rmxw-jxxx-4cpc,Moderate,">= 2026.1.14-1, < 2026.2.2",https://github.com/openclaw/openclaw/security/advisories/GHSA-rmxw-jxxx-4cpc
246,BlueBubbles webhook auth bypass via loopback proxy trust,CVE-2026-26316,High,< 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-pchc-86f6-8758
247,"Twitch allowFrom not enforced in optional plugin, unauthorized chat users can trigger agent pipeline",GHSA-33rq-m5x2-fvgf,High,">= 2026.1.29, < 2026.2.1",https://github.com/openclaw/openclaw/security/advisories/GHSA-33rq-m5x2-fvgf
248,SSRF guard bypass via full-form IPv4-mapped IPv6 (loopback / metadata reachable),CVE-2026-26324,High,<= 2026.2.13,https://github.com/openclaw/openclaw/security/advisories/GHSA-jrvc-8ff5-2f9f
249,OpenClaw may disclose local files via MEDIA: path staging,CVE-2026-25475,Moderate,<= 2026.1.30,https://github.com/openclaw/openclaw/security/advisories/GHSA-r8g4-86fx-92mq
250,Command injection in maintainer clawtributors updater,CVE-2026-26323,Moderate,>=2026.1.8 <2026.2.14,https://github.com/openclaw/openclaw/security/advisories/GHSA-m7x8-2w3w-pr42
251,Telegram webhook requests may be accepted without verifying secret token when webhookSecret is missing,CVE-2026-25474,High,<=2026.1.30,https://github.com/openclaw/openclaw/security/advisories/GHSA-mp5h-m6qj-6292
252,Browser Relay /cdp websocket missing auth could allow cross-tab cookie access,GHSA-mr32-vwc2-5j6h,High,<= 0.1.0,https://github.com/openclaw/openclaw/security/advisories/GHSA-mr32-vwc2-5j6h
253,1-Click RCE via Authentication Token Exfiltration From gatewayUrl,GHSA-g8p2-7wf7-98mq,High,<=v2026.1.28,https://github.com/openclaw/openclaw/security/advisories/GHSA-g8p2-7wf7-98mq
254,OS Command Injection via Project Root Path in sshNodeCommand,CVE-2026-25157,High,<v2026.1.29,https://github.com/openclaw/openclaw/security/advisories/GHSA-q284-4pvr-m585
255,Slack integration hardening: prevent channel metadata from influencing system prompts,CVE-2026-24764,Low,< 2026.2.3,https://github.com/openclaw/openclaw/security/advisories/GHSA-782p-5fr5-7fj8
256,Command Injection in Clawdbot Docker Execution via PATH Environment Variable,CVE-2026-24763,High,<= 2026.1.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-mc68-q9jw-2h3v
257,Optional voice-call plugin: webhook verification may be bypassed behind certain proxy configurations,GHSA-3m3q-x3gj-f79x,Moderate,<= 2026.1.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-3m3q-x3gj-f79x
258,Unauthenticated Local RCE via WebSocket config.apply,CVE-2026-25593,High,< 2026.1.20,https://github.com/openclaw/openclaw/security/advisories/GHSA-g55j-c2v4-pjcg
